City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,glowno,51.9646,19.7157,46.99,74,100,5.17,PL,1679281468
314,qaqortoq,60.7167,-46.0333,23.67,69,99,10.6,GL,1679281469
315,margate,51.3813,1.3862,46.9,79,100,3.0,GB,1679281469
316,mattru,7.6244,-11.8332,73.62,89,21,1.7,SL,1679281470
317,mayskiy,47.6931,40.1025,44.01,91,79,8.48,RU,1679281470
318,houma,29.5958,-90.7195,43.0,59,0,6.91,US,1679281387
319,santa rosa,14.3122,121.1114,86.09,65,70,10.98,PH,1679281411
320,dwarka,22.2394,68.9678,76.5,75,3,7.63,IN,1679281471
321,baruun-urt,46.6806,113.2792,41.61,22,0,15.1,MN,1679281472
322,mogok,22.9167,96.5,75.6,38,100,4.21,MM,1679281472
323,muravlenko,63.7898,74.523,14.65,93,100,26.84,RU,1679281473
324,kavaratti,10.5669,72.642,82.06,61,55,8.7,IN,1679281473
325,vokhma,58.9303,46.7586,15.58,99,100,3.27,RU,1679281474
326,pasni,25.2631,63.471,74.52,68,0,3.83,PK,1679281333
327,dhupgari,26.5858,89.0145,67.44,81,100,4.38,IN,1679281475
328,champerico,14.3,-91.9167,82.42,72,10,2.73,GT,1679281253
329,juneau,58.3019,-134.4197,38.1,97,100,0.0,US,1679281189
330,pathein,16.7833,94.7333,88.2,42,42,7.63,MM,1679281475
331,poltavka,54.3663,71.7632,8.74,94,99,6.64,RU,1679281476
332,mezen,65.8522,44.24,6.96,98,89,4.05,RU,1679281476
333,whyalla,-33.0333,137.5833,73.42,48,100,6.8,AU,1679281477
334,changchun,43.88,125.3228,51.76,28,2,19.13,CN,1679281477
335,vanderhoof,54.0166,-124.0198,33.21,95,99,2.91,CA,1679281249
336,jian,27.1172,114.9793,59.65,83,98,4.03,CN,1679281478
337,yerbogachen,61.2767,108.0108,-7.33,84,100,12.95,RU,1679281479
338,sigli,5.3848,95.9609,79.21,85,100,1.74,ID,1679281479
339,porbandar,21.6422,69.6093,75.87,76,27,5.28,IN,1679281480
340,puerto suarez,-18.95,-57.8,72.77,96,100,3.49,BO,1679281480
341,conceicao do araguaia,-8.2578,-49.2647,69.82,96,100,2.57,BR,1679281480
342,gondar,12.6,37.4667,59.4,31,79,5.46,ET,1679281481
343,atherton,53.5237,-2.4935,45.75,95,100,6.2,GB,1679281482
344,madang,-5.2246,145.7966,86.11,63,16,5.5,PG,1679281482
345,shanhetun,44.7,127.2,53.71,23,26,18.81,CN,1679281483
346,havoysund,70.9963,24.6622,28.63,75,100,5.12,NO,1679281483
347,asau,46.4333,26.4,31.28,63,38,4.29,RO,1679281483
348,moron,-34.6534,-58.6198,76.98,74,24,7.05,AR,1679281484
349,otradnoye,59.7775,30.8181,37.45,99,100,3.67,RU,1679281484
350,capoterra,39.1763,8.9718,55.54,94,75,6.91,IT,1679281485
351,ventspils,57.3894,21.5606,35.53,100,100,1.14,LV,1679281485
352,batemans bay,-35.7167,150.1833,69.1,66,100,10.25,AU,1679281486
353,fomboni,-12.28,43.7425,82.67,75,96,7.27,KM,1679281486
354,baiyin,36.5583,104.2081,49.23,60,100,2.73,CN,1679281487
355,ambunti,-4.2365,142.8448,92.95,49,42,2.77,PG,1679281488
356,anadyr,64.75,177.4833,14.5,66,0,6.71,RU,1679281488
357,haines junction,60.7522,-137.5108,39.15,56,100,2.3,CA,1679281489
358,manokwari,-0.8667,134.0833,80.92,80,100,5.39,ID,1679281489
359,san ramon,37.7799,-121.978,54.81,92,100,10.36,US,1679281204
360,klaksvik,62.2266,-6.589,32.92,66,65,12.08,FO,1679281490
361,urucara,-2.5364,-57.76,75.97,84,100,2.95,BR,1679281491
362,cherskiy,68.75,161.3,-1.3,92,96,8.57,RU,1679281491
363,biak,-0.9131,122.8766,82.78,73,100,1.34,ID,1679281492
364,onnaing,50.3858,3.5996,42.21,95,75,6.82,FR,1679281493
365,kangaba,11.9333,-8.4167,79.11,18,36,2.04,ML,1679281494
